_id,id_Usuario,nome_Usuario,email_Corporativo_Usuario,senha_Usuario,empresa.id_Empresa,empresa.nome_Empresa,empresa.cnpj_Empresa,empresa.ramo_Empresa.id_ramoEmpresa,empresa.ramo_Empresa.nome_ramo,empresa.ramo_Empresa.desc_ramo,empresa.WebSite.id_Website,empresa.WebSite.url_Website,empresa.WebSite.nome_Website,empresa.WebSite.descricao_Website,empresa.endereco.cep_Endereco,empresa.endereco.rua_Endereco,empresa.endereco.num_Endereco,empresa.endereco.bairro_Endereco,empresa.endereco.cidade_Endereco,empresa.endereco.estado_Endereco,empresa.endereco.uf_Endereco,empresa.endereco.pais_Endereco,empresa.endereco.id_Endereco,analise.id_Analise,analise.resultados_Analise,analise.data_Analise,trafego.id_Trafego,trafego.num_Visitantes,trafego.tempo_MedioVisitaSite,empresa.Ramo Empresa.id_ramoEmpresa,empresa.Ramo Empresa.nome_ramo,empresa.Ramo Empresa.desc_ramo
6647ebda25bdf9b26abdda88,1,João Silva,joao@empresa.com,senha123,1,Empresa XYZ,12345678901234,1,Tecnologia,Empresa voltada para soluções em tecnologia.,1,http://www.empresa.com,Empresa Website,Website principal da empresa,01234567,Rua Principal,123,Centro,São Paulo,SP,BR,Brasil,1,1,Análise de tráfego do website,2024-05-17T00:00:00,1,1000,2024-05-17T16:16:56.639611,,,
6647ebda25bdf9b26abdda89,2,Maria Oliveira,maria@empresa.com,senha456,1,Empresa XYZ,12345678901234,,,,1,http://www.empresa.com,Empresa Website,Website principal da empresa,01234567,Rua Principal,123,Centro,São Paulo,SP,BR,Brasil,1,1,Análise de tráfego do website,2024-05-17T00:00:00,1,1000,2024-05-17T16:16:56.639611,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda8a,3,Pedro Santos,pedro@empresa.com,senha789,1,Empresa XYZ,12345678901234,,,,1,http://www.empresa.com,Empresa Website,Website principal da empresa,01234567,Rua Principal,123,Centro,São Paulo,SP,BR,Brasil,1,1,Análise de tráfego do website,2024-05-17T00:00:00,1,1000,2024-05-17T16:16:56.639611,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda8b,4,Ana Souza,ana@empresa.com,senhaabc,1,Empresa XYZ,12345678901234,,,,1,http://www.empresa.com,Empresa Website,Website principal da empresa,01234567,Rua Principal,123,Centro,São Paulo,SP,BR,Brasil,1,1,Análise de tráfego do website,2024-05-17T00:00:00,1,1000,2024-05-17T16:16:56.639611,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda8c,5,Carlos Silva,carlos@empresa.com,senhadef,1,Empresa XYZ,12345678901234,,,,1,http://www.empresa.com,Empresa Website,Website principal da empresa,01234567,Rua Principal,123,Centro,São Paulo,SP,BR,Brasil,1,1,Análise de tráfego do website,2024-05-17T00:00:00,1,1000,2024-05-17T16:16:56.639611,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda8d,6,Laura Ferreira,laura@empresa.com,senhaxyz,1,Empresa XYZ,12345678901234,,,,1,http://www.empresa.com,Empresa Website,Website principal da empresa,01234567,Rua Principal,123,Centro,São Paulo,SP,BR,Brasil,1,1,Análise de tráfego do website,2024-05-17T00:00:00,1,1000,2024-05-17T16:16:56.639611,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda8e,7,Patrícia Santos,patricia@empresaabc.com,senha123,2,Empresa ABC,98765432109876,,,,,,,,98765432,Avenida Central,456,Centro,Rio de Janeiro,RJ,BR,Brasil,2,,,,,,,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda8f,8,Marcos Oliveira,marcos@empresaabc.com,senha456,2,Empresa ABC,98765432109876,,,,,,,,98765432,Avenida Central,456,Centro,Rio de Janeiro,RJ,BR,Brasil,2,,,,,,,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda90,9,Ana Lima,ana@empresaabc.com,senha789,2,Empresa ABC,98765432109876,,,,,,,,98765432,Avenida Central,456,Centro,Rio de Janeiro,RJ,BR,Brasil,2,,,,,,,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda91,10,Felipe Silva,felipe@empresaabc.com,senhaabc,2,Empresa ABC,98765432109876,,,,,,,,98765432,Avenida Central,456,Centro,Rio de Janeiro,RJ,BR,Brasil,2,,,,,,,1,Tecnologia,Empresa voltada para soluções em tecnologia.
6647ebda25bdf9b26abdda92,11,Carla Souza,carla@empresaabc.com,senhaxyz,2,Empresa ABC,98765432109876,,,,,,,,98765432,Avenida Central,456,Centro,Rio de Janeiro,RJ,BR,Brasil,2,,,,,,,1,Tecnologia,Empresa voltada para soluções em tecnologia.
